[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1336396175.953000 5/7/2012, 6:39:35 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, CeMg3
INFO, WEIGHT, 8.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, bar
INFO, COMMENT, H || [100]
INFO, SEQUENCE FILE: CeSi_MT.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1336396175.953,,1.000000e+003,1.794382e+000,1.048864e-003,0.000000e+000,3,9.821061e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.399849e-004,1.500000e+001,0,,0,
1336396244.156,,1.000000e+003,1.873234e+000,1.048824e-003,0.000000e+000,3,9.820088e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.989007e-003,1.500000e+001,0,,0,
1336396410.203,,1.000000e+003,1.996731e+000,1.051267e-003,0.000000e+000,3,9.819639e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.380579e-004,1.500000e+001,0,,0,
1336396502.703,,1.000000e+003,2.107320e+000,1.052674e-003,0.000000e+000,3,9.816251e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.149893e-003,1.500000e+001,0,,0,
1336396655.578,,1.000000e+003,2.199144e+000,1.054895e-003,0.000000e+000,3,9.814369e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.474142e-003,1.500000e+001,0,,0,
1336396743.484,,1.000000e+003,2.306059e+000,1.057406e-003,0.000000e+000,3,9.814665e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.599882e-003,1.500000e+001,0,,0,
1336396828.671,,1.000000e+003,2.406041e+000,1.060092e-003,0.000000e+000,3,9.809355e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.721952e-003,1.500000e+001,0,,0,
1336396911.921,,1.000000e+003,2.506165e+000,1.064118e-003,0.000000e+000,3,9.807543e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.334927e-003,1.500000e+001,0,,0,
1336397029.609,,1.000000e+003,2.599110e+000,1.067744e-003,0.000000e+000,3,9.806498e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.835989e-003,1.500000e+001,0,,0,
1336397154.968,,1.000000e+003,2.698878e+000,1.071704e-003,0.000000e+000,3,9.805292e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.697063e-003,1.500000e+001,0,,0,
1336397283.656,,1.000000e+003,2.798564e+000,1.071433e-003,0.000000e+000,3,9.802948e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.644135e-003,1.500000e+001,0,,0,
1336397415.484,,1.000000e+003,2.898247e+000,1.060811e-003,0.000000e+000,3,9.800714e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.458168e-003,1.500000e+001,0,,0,
1336397553.375,,1.000000e+003,2.998067e+000,1.049471e-003,0.000000e+000,3,9.802588e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.405001e-003,1.500000e+001,0,,0,
1336397749.906,,1.000000e+003,3.196636e+000,1.026370e-003,0.000000e+000,3,9.801308e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.584427e-005,1.500000e+001,0,,0,
1336397979.593,,1.000000e+003,3.396270e+000,1.005065e-003,0.000000e+000,3,9.799299e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.991127e-004,1.500000e+001,0,,0,
1336398244.046,,1.000000e+003,3.596826e+000,9.846210e-004,0.000000e+000,3,9.797798e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.699562e-005,1.500000e+001,0,,0,
1336398393.312,,1.000000e+003,3.809621e+000,9.667418e-004,0.000000e+000,3,9.800203e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.210804e-004,1.500000e+001,0,,0,
1336398573.687,,1.000000e+003,4.003286e+000,9.484173e-004,0.000000e+000,3,9.798217e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,8.821487e-005,1.500000e+001,0,,0,
1336398783.390,,1.000000e+003,4.203523e+000,9.308957e-004,0.000000e+000,3,9.795213e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.021095e-004,1.500000e+001,0,,0,
1336399154.750,,1.000000e+003,4.390714e+000,9.158910e-004,0.000000e+000,3,9.793074e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.602837e-004,1.500000e+001,0,,0,
1336399507.453,,1.000000e+003,4.598448e+000,9.018195e-004,0.000000e+000,3,9.792748e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,4.143238e-003,1.500000e+001,0,,0,
1336399592.078,,1.000000e+003,4.799293e+000,8.887503e-004,0.000000e+000,3,9.792325e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.534866e-003,1.500000e+001,0,,0,
1336399676.843,,1.000000e+003,5.000299e+000,8.765443e-004,0.000000e+000,3,9.792680e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.352715e-003,1.500000e+001,0,,0,
1336399760.265,,1.000000e+003,5.200680e+000,8.653675e-004,0.000000e+000,3,9.794241e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.466129e-003,1.500000e+001,0,,0,
1336399842.671,,1.000000e+003,5.401321e+000,8.545549e-004,0.000000e+000,3,9.792922e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.712799e-003,1.500000e+001,0,,0,
1336399924.484,,1.000000e+003,5.600987e+000,8.436397e-004,0.000000e+000,3,9.791954e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.027916e-003,1.500000e+001,0,,0,
1336400005.796,,1.000000e+003,5.801282e+000,8.327967e-004,0.000000e+000,3,9.790957e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.611088e-003,1.500000e+001,0,,0,
1336400087.468,,1.000000e+003,5.998566e+000,8.225212e-004,0.000000e+000,3,9.792796e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.576061e-003,1.500000e+001,0,,0,
1336400170.796,,1.000000e+003,6.498444e+000,7.997518e-004,0.000000e+000,3,9.791107e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.825188e-003,1.500000e+001,0,,0,
1336400263.515,,1.000000e+003,6.999784e+000,7.778462e-004,0.000000e+000,3,9.788504e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.799034e-003,1.500000e+001,0,,0,
1336400355.218,,1.000000e+003,7.499948e+000,7.579725e-004,0.000000e+000,3,9.787375e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.258705e-003,1.500000e+001,0,,0,
1336400445.093,,1.000000e+003,7.995194e+000,7.392635e-004,0.000000e+000,3,9.787112e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.403229e-003,1.500000e+001,0,,0,
1336400536.609,,1.000000e+003,8.498052e+000,7.212422e-004,0.000000e+000,3,9.786121e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.499985e-003,1.500000e+001,0,,0,
1336400627.390,,1.000000e+003,8.996482e+000,7.047147e-004,0.000000e+000,3,9.784278e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.324509e-003,1.500000e+001,0,,0,
1336400719.140,,1.000000e+003,9.498964e+000,6.892217e-004,0.000000e+000,3,9.784575e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.024651e-003,1.500000e+001,0,,0,
1336400811.578,,1.000000e+003,9.995927e+000,6.744776e-004,0.000000e+000,3,9.785094e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.512527e-003,1.500000e+001,0,,0,
1336400923.640,,1.000000e+003,1.199708e+001,6.222283e-004,0.000000e+000,3,9.774784e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,1.500000e+001,0,,0,
1336401033.250,,1.000000e+003,1.401090e+001,5.836656e-004,0.000000e+000,3,9.780554e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.999969e-004,1.500000e+001,0,,0,
1336401138.296,,1.000000e+003,1.598321e+001,5.509534e-004,0.000000e+000,3,9.780680e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.749702e-003,1.500000e+001,0,,0,
1336401245.718,,1.000000e+003,1.798259e+001,5.227073e-004,0.000000e+000,3,9.780959e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.039886e-002,1.500000e+001,0,,0,
1336401353.750,,1.000000e+003,1.998076e+001,4.992950e-004,0.000000e+000,3,9.778990e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.099014e-002,1.500000e+001,0,,0,
1336401462.375,,1.000000e+003,2.197989e+001,4.792354e-004,0.000000e+000,3,9.781227e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.206970e-002,1.500000e+001,0,,0,
1336401574.281,,1.000000e+003,2.398092e+001,4.618520e-004,0.000000e+000,3,9.779221e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.409241e-003,1.500000e+001,0,,0,
1336401688.515,,1.000000e+003,2.600058e+001,4.467418e-004,0.000000e+000,3,9.779900e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,1.500000e+001,0,,0,
